bot,win ratio,#wins (p1),#games (p1),win ratio (p1),#wins (p2),#games (p2),win ratio (p2),#errors,play_time
npc,0.910493827,383,405,0.945679012,354,405,0.875308642,15,0.394592593
abs_taebo,0.840740741,337,405,0.832098765,344,405,0.849382716,31,0.345148148
ho,0.777160494,316,405,0.781481481,313,405,0.772839506,3,0.370111111
blue_bird,0.62962963,254,405,0.627160494,256,405,0.632098765,1,0.461851852
kinai,0.57345679,205,405,0.507407407,259,405,0.639506173,13,0.533592593
poscat,0.418518519,150,405,0.37037037,189,405,0.466666667,0,0.395037037
transfer,0.355555556,134,405,0.330864198,154,405,0.380246914,2,0.429962963
maru,0.256790123,84,405,0.207407407,124,405,0.30617284,1,0.418407407
big,0.202469136,72,405,0.177777778,92,405,0.227160494,0,0.408074074
keai,0.035185185,9,405,0.02345679,19,405,0.04691358,2,0.424925926
